"Activity1","Activity2","Activity3","Duration","Next_Activity"
"FIN","RELEASE","CODE OK",75158,1
"NEW","CHANGE DIAGN","FIN",-134130,13
"CHANGE DIAGN","FIN","RELEASE",-216137,6
"FIN","RELEASE","CODE OK",7589,1
"NEW","CHANGE DIAGN","FIN",26951,13
"CHANGE DIAGN","FIN","RELEASE",-17148,6
"FIN","RELEASE","CODE OK",122982,14
"RELEASE","CODE OK","REOPEN",126930,8
"CODE OK","REOPEN","FIN",51689,13
"REOPEN","FIN","RELEASE",-149798,6
"FIN","RELEASE","CODE OK",-153747,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",6387,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-16136,13
"CHANGE DIAGN","FIN","RELEASE",105399,6
"FIN","RELEASE","CODE OK",121830,1
"NEW","FIN","RELEASE",337020,6
"FIN","RELEASE","CODE OK",298455,1
"NEW","FIN","RELEASE",-442463,6
"FIN","RELEASE","CODE OK",-467361,1
"NEW","CHANGE DIAGN","FIN",37500,13
"CHANGE DIAGN","FIN","RELEASE",30240,6
"FIN","RELEASE","CODE OK",-7260,1
"NEW","CHANGE DIAGN","FIN",-40881,13
"CHANGE DIAGN","FIN","RELEASE",-7200,6
"FIN","RELEASE","CODE OK",37440,1
"NEW","CHANGE DIAGN","FIN",-17089,13
"CHANGE DIAGN","FIN","RELEASE",14750,6
"FIN","RELEASE","CODE OK",13047,1
"NEW","CHANGE DIAGN","FIN",195506,13
"CHANGE DIAGN","FIN","RELEASE",30,6
"FIN","RELEASE","CODE OK",-389782,1
"NEW","CHANGE DIAGN","FIN",166348,13
"CHANGE DIAGN","FIN","RELEASE",-13263,6
"FIN","RELEASE","CODE OK",-5979,1
"NEW","CHANGE DIAGN","FIN",34316,13
"CHANGE DIAGN","FIN","RELEASE",40285,6
"FIN","RELEASE","CODE OK",-123961,1
"NEW","CHANGE DIAGN","FIN",-220,13
"CHANGE DIAGN","FIN","RELEASE",-74847,6
"FIN","RELEASE","CODE OK",7571,1
"NEW","CHANGE DIAGN","FIN",-193302,13
"CHANGE DIAGN","FIN","RELEASE",10263,6
"FIN","RELEASE","CODE OK",165897,1
"NEW","CHANGE DIAGN","FIN",8884,13
"CHANGE DIAGN","FIN","RELEASE",75045,6
"FIN","RELEASE","CODE OK",38578,1
"NEW","CHANGE DIAGN","FIN",-42089,13
"CHANGE DIAGN","FIN","RELEASE",485185,6
"FIN","RELEASE","CODE OK",310898,1
"NEW","CHANGE DIAGN","FIN",3,13
"CHANGE DIAGN","FIN","RELEASE",32891,6
"FIN","RELEASE","CODE OK",-1201588,1
"NEW","CHANGE DIAGN","FIN",83754,13
"CHANGE DIAGN","FIN","RELEASE",-164497,6
"FIN","RELEASE","CODE OK",-166914,1
"NEW","FIN","RELEASE",42550,6
"FIN","RELEASE","CODE OK",164553,1
"NEW","CHANGE DIAGN","FIN",77624,13
"CHANGE DIAGN","FIN","RELEASE",163948,6
"FIN","RELEASE","CODE OK",-77687,1
"NEW","CHANGE DIAGN","FIN",-55535,13
"CHANGE DIAGN","FIN","RELEASE",-92920,6
"FIN","RELEASE","CODE OK",20206,1
"NEW","FIN","RELEASE",52447,6
"FIN","RELEASE","CODE OK",0,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-175074,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",134813,13
"CHANGE DIAGN","FIN","RELEASE",128965,6
"FIN","RELEASE","CODE OK",318317,1
"NEW","CHANGE DIAGN","FIN",162045,13
"CHANGE DIAGN","FIN","RELEASE",530048,6
"FIN","RELEASE","CODE OK",15163,1
"RELEASE","CODE OK","BILLED",-527555,16
"CODE OK","BILLED","STORNO",-155307,12
"BILLED","STORNO","REJECT",-160600,1
"STORNO","REJECT","BILLED",389202,16
"REJECT","BILLED","STORNO",22970,12
"BILLED","STORNO","REJECT",-383457,14
"STORNO","REJECT","REOPEN",-332792,8
"REJECT","REOPEN","FIN",-348462,13
"REOPEN","FIN","RELEASE",57954,6
"FIN","RELEASE","CODE OK",115899,1
"NEW","CHANGE DIAGN","FIN",11512,13
"CHANGE DIAGN","FIN","RELEASE",138731,6
"FIN","RELEASE","CODE OK",138698,1
"NEW","CHANGE DIAGN","FIN",-55614,13
"CHANGE DIAGN","FIN","RELEASE",-48343,6
"FIN","RELEASE","CODE OK",-166045,1
"RELEASE","CODE OK","BILLED",7454,16
"CODE OK","BILLED","STORNO",77486,1
"BILLED","STORNO","BILLED",77564,16
"STORNO","BILLED","STORNO",166290,1
"NEW","FIN","RELEASE",35330,6
"FIN","RELEASE","CODE OK",35386,1
"NEW","FIN","RELEASE",-227738,6
"FIN","RELEASE","CODE OK",49876,1
"NEW","CHANGE DIAGN","FIN",-141747,13
"CHANGE DIAGN","FIN","RELEASE",14559,6
"FIN","RELEASE","CODE OK",42561,1
"NEW","CHANGE DIAGN","FIN",-48124,13
"CHANGE DIAGN","FIN","RELEASE",-144534,6
"FIN","RELEASE","CODE OK",-44700,1
"NEW","CHANGE DIAGN","FIN",530450,13
"CHANGE DIAGN","FIN","RELEASE",7055,6
"FIN","RELEASE","CODE OK",-524799,1
"NEW","CHANGE DIAGN","FIN",-453287,13
"CHANGE DIAGN","FIN","RELEASE",83962,6
"FIN","RELEASE","CODE OK",162149,1
"NEW","CHANGE DIAGN","FIN",-39211,13
"CHANGE DIAGN","FIN","RELEASE",13947,6
"FIN","RELEASE","CODE OK",-143031,1
"NEW","FIN","RELEASE",1,6
"FIN","RELEASE","CODE OK",25545,1
"NEW","CHANGE DIAGN","FIN",-15208,13
"CHANGE DIAGN","FIN","RELEASE",-130639,6
"FIN","RELEASE","CODE OK",85749,1
"NEW","FIN","RELEASE",-81579,6
"FIN","RELEASE","CODE OK",459971,1
"NEW","FIN","RELEASE",16691,6
"FIN","RELEASE","CODE OK",530376,1
"NEW","CHANGE DIAGN","FIN",-15355,13
"CHANGE DIAGN","FIN","RELEASE",531865,6
"FIN","RELEASE","CODE OK",7261,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",528538,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",525476,13
"CHANGE DIAGN","FIN","RELEASE",531862,6
"FIN","RELEASE","CODE OK",7262,1
"RELEASE","CODE OK","BILLED",-495951,16
"CODE OK","BILLED","STORNO",-442584,12
"BILLED","STORNO","REJECT",-434664,14
"STORNO","REJECT","REOPEN",68099,7
"NEW","FIN","RELEASE",-339613,6
"FIN","RELEASE","CODE OK",206248,1
"NEW","FIN","RELEASE",-274731,6
"FIN","RELEASE","CODE OK",77241,14
"RELEASE","CODE OK","REOPEN",77498,8
"CODE OK","REOPEN","FIN",80265,13
"REOPEN","FIN","RELEASE",95007,6
"FIN","RELEASE","CODE OK",-74779,14
"RELEASE","CODE OK","REOPEN",-41095,8
"CODE OK","REOPEN","FIN",-44563,13
"REOPEN","FIN","RELEASE",124873,6
"FIN","RELEASE","CODE OK",89651,1
"NEW","CHANGE DIAGN","FIN",-5821,13
"CHANGE DIAGN","FIN","RELEASE",131997,6
"FIN","RELEASE","CODE OK",137865,1
"NEW","CHANGE DIAGN","FIN",57775,13
"CHANGE DIAGN","FIN","RELEASE",-134178,6
"FIN","RELEASE","CODE OK",287309,1
"NEW","CHANGE DIAGN","FIN",440337,13
"CHANGE DIAGN","FIN","RELEASE",531850,6
"FIN","RELEASE","CODE OK",7329,1
"NEW","CHANGE DIAGN","FIN",531825,13
"CHANGE DIAGN","FIN","RELEASE",7170,6
"FIN","RELEASE","CODE OK",-490068,1
"NEW","CHANGE DIAGN","FIN",17260,13
"CHANGE DIAGN","FIN","RELEASE",-566508,6
"FIN","RELEASE","CODE OK",-248596,1
"NEW","FIN","RELEASE",232972,6
"FIN","RELEASE","CODE OK",223476,1
"NEW","CHANGE DIAGN","FIN",17266,13
"CHANGE DIAGN","FIN","RELEASE",-526121,6
"FIN","RELEASE","CODE OK",-12301,1
"NEW","FIN","RELEASE",-482990,6
"FIN","RELEASE","CODE OK",35715,1
"NEW","CHANGE DIAGN","FIN",-515903,13
"CHANGE DIAGN","FIN","RELEASE",-3259,6
"FIN","RELEASE","CODE OK",-12070,1
"NEW","FIN","RELEASE",-534596,6
"FIN","RELEASE","CODE OK",-551541,14
"RELEASE","CODE OK","REOPEN",38956,8
"CODE OK","REOPEN","FIN",527185,13
"REOPEN","FIN","RELEASE",10101,6
"FIN","RELEASE","CODE OK",231273,1
"NEW","CHANGE DIAGN","FIN",-277427,7
"NEW","CHANGE DIAGN","FIN",16913,13
"CHANGE DIAGN","FIN","RELEASE",129942,6
"FIN","RELEASE","CODE OK",390608,1
"NEW","FIN","RELEASE",276988,6
"FIN","RELEASE","CODE OK",-984485,1
"NEW","FIN","RELEASE",14092,6
"FIN","RELEASE","CODE OK",-556210,1
"NEW","CHANGE DIAGN","FIN",14108,13
"CHANGE DIAGN","FIN","RELEASE",-471116,6
"FIN","RELEASE","CODE OK",-279520,1
"NEW","CHANGE DIAGN","FIN",-204339,13
"CHANGE DIAGN","FIN","RELEASE",318531,6
"FIN","RELEASE","CODE OK",-276849,1
"NEW","CHANGE DIAGN","FIN",134752,13
"CHANGE DIAGN","FIN","RELEASE",128661,6
"FIN","RELEASE","CODE OK",238326,1
"NEW","CHANGE DIAGN","FIN",36100,13
"CHANGE DIAGN","FIN","RELEASE",-135817,6
"FIN","RELEASE","CODE OK",388386,1
"NEW","CHANGE DIAGN","FIN",-536233,13
"CHANGE DIAGN","FIN","RELEASE",-13924,6
"FIN","RELEASE","CODE OK",-23932,1
"NEW","FIN","RELEASE",-1115,5
"FIN","RELEASE","CODE NOK",530502,14
"RELEASE","CODE NOK","REOPEN",5584,8
"CODE NOK","REOPEN","FIN",-474253,13
"REOPEN","FIN","RELEASE",49938,5
"FIN","RELEASE","CODE NOK",48249,5
"RELEASE","CODE NOK","CODE NOK",532384,15
"NEW","FIN","RELEASE",-72981,6
"FIN","RELEASE","CODE OK",533524,1
"NEW","CHANGE DIAGN","FIN",528948,13
"CHANGE DIAGN","FIN","RELEASE",12542,6
"FIN","RELEASE","CODE OK",-516069,1
"NEW","FIN","RELEASE",15788,6
"FIN","RELEASE","CODE OK",-514580,13
"RELEASE","CODE OK","RELEASE",7777,6
"CODE OK","RELEASE","CODE OK",-2377,13
"RELEASE","CODE OK","RELEASE",532332,6
"CODE OK","RELEASE","CODE OK",15714,1
"NEW","CHANGE DIAGN","FIN",532332,13
"CHANGE DIAGN","FIN","RELEASE",15547,6
"FIN","RELEASE","CODE OK",-573680,1
"NEW","CHANGE DIAGN","FIN",138953,13
"CHANGE DIAGN","FIN","RELEASE",-132853,6
"FIN","RELEASE","CODE OK",394219,1
"NEW","CHANGE DIAGN","FIN",520266,13
"CHANGE DIAGN","FIN","RELEASE",527812,6
"FIN","RELEASE","CODE OK",12603,1
"NEW","CHANGE DIAGN","FIN",528777,13
"CHANGE DIAGN","FIN","RELEASE",12743,6
"FIN","RELEASE","CODE OK",-478382,1
"NEW","FIN","RELEASE",15631,1
"NEW","FIN","RELEASE",533325,6
"FIN","RELEASE","CODE OK",45820,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",41330,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-105552,8
"CHANGE DIAGN","FIN","FIN",421498,13
"FIN","FIN","RELEASE",392239,6
"FIN","RELEASE","CODE OK",532193,1
"NEW","CHANGE DIAGN","FIN",-54424,13
"CHANGE DIAGN","FIN","RELEASE",532134,6
"FIN","RELEASE","CODE OK",15638,1
"NEW","FIN","RELEASE",132012,6
"FIN","RELEASE","CODE OK",40855,1
"RELEASE","CODE OK","BILLED",38664,16
"CODE OK","BILLED","STORNO",-118993,12
"BILLED","STORNO","REJECT",-123395,1
"NEW","CHANGE DIAGN","FIN",38939,13
"CHANGE DIAGN","FIN","RELEASE",-91309,6
"FIN","RELEASE","CODE OK",-97177,1
"NEW","CHANGE DIAGN","FIN",36111,13
"CHANGE DIAGN","FIN","RELEASE",-173525,6
"FIN","RELEASE","CODE OK",-150710,1
"NEW","CHANGE DIAGN","FIN",140509,13
"CHANGE DIAGN","FIN","RELEASE",-101405,6
"FIN","RELEASE","CODE OK",-110096,1
"NEW","CHANGE DIAGN","FIN",198174,13
"CHANGE DIAGN","FIN","RELEASE",-71081,6
"FIN","RELEASE","CODE OK",-81305,1
"NEW","FIN","RELEASE",37396,6
"FIN","RELEASE","CODE OK",-174135,1
"NEW","CHANGE DIAGN","FIN",164369,13
"CHANGE DIAGN","FIN","RELEASE",7756,6
"FIN","RELEASE","CODE OK",1822,1
"NEW","CHANGE DIAGN","FIN",-162283,13
"CHANGE DIAGN","FIN","RELEASE",-168345,6
"FIN","RELEASE","CODE OK",-149073,1
"NEW","FIN","RELEASE",2863,6
"FIN","RELEASE","CODE OK",-646712,1
"NEW","FIN","RELEASE",71408,6
"FIN","RELEASE","CODE OK",67512,1
"NEW","CHANGE DIAGN","FIN",39283,13
"CHANGE DIAGN","FIN","RELEASE",39787,6
"FIN","RELEASE","CODE OK",35558,1
"NEW","CHANGE DIAGN","FIN",-250111,13
"CHANGE DIAGN","FIN","RELEASE",128866,6
"FIN","RELEASE","CODE OK",137541,1
"NEW","CHANGE DIAGN","FIN",26737,13
"CHANGE DIAGN","FIN","RELEASE",11617,6
"FIN","RELEASE","CODE OK",-220647,14
"RELEASE","CODE OK","REOPEN",-227882,8
"CODE OK","REOPEN","FIN",-163855,13
"REOPEN","FIN","RELEASE",67071,6
"FIN","RELEASE","CODE OK",70084,1
"NEW","FIN","RELEASE",-117292,5
"FIN","RELEASE","CODE NOK",77186,15
"NEW","CHANGE DIAGN","FIN",7213,13
"CHANGE DIAGN","FIN","RELEASE",3829,6
"FIN","RELEASE","CODE OK",86181,1
"NEW","CHANGE DIAGN","FIN",12382,13
"CHANGE DIAGN","FIN","RELEASE",38056,6
"FIN","RELEASE","CODE OK",-58324,1
"NEW","CHANGE DIAGN","FIN",23624,13
"CHANGE DIAGN","FIN","RELEASE",-25247,6
"FIN","RELEASE","CODE OK",-28297,1
"NEW","FIN","RELEASE",-43899,6
"FIN","RELEASE","CODE OK",-16050,1
"NEW","CHANGE DIAGN","FIN",75658,13
"CHANGE DIAGN","FIN","RELEASE",71337,6
"FIN","RELEASE","CODE OK",26737,1
"NEW","CHANGE DIAGN","FIN",156334,13
"CHANGE DIAGN","FIN","RELEASE",163646,6
"FIN","RELEASE","CODE OK",82967,1
"NEW","FIN","RELEASE",133566,6
"FIN","RELEASE","CODE OK",137585,1
"NEW","CHANGE DIAGN","FIN",137559,13
"CHANGE DIAGN","FIN","RELEASE",37513,6
"FIN","RELEASE","CODE OK",89691,14
"RELEASE","CODE OK","REOPEN",85690,8
"CODE OK","REOPEN","FIN",52764,13
"REOPEN","FIN","RELEASE",0,6
"FIN","RELEASE","CODE OK",-189971,1
"NEW","FIN","RELEASE",297413,6
"FIN","RELEASE","CODE OK",-554470,1
"NEW","FIN","RELEASE",15099,6
"FIN","RELEASE","CODE OK",21961,1
"NEW","CHANGE DIAGN","FIN",40309,13
"CHANGE DIAGN","FIN","RELEASE",-151937,6
"FIN","RELEASE","CODE OK",-159182,1
"NEW","FIN","RELEASE",177513,6
"FIN","RELEASE","CODE OK",177962,1
"NEW","FIN","RELEASE",-149076,6
"FIN","RELEASE","CODE OK",-80038,1
"NEW","CHANGE DIAGN","FIN",7225,13
"CHANGE DIAGN","FIN","RELEASE",2342,6
"FIN","RELEASE","CODE OK",31440,1
"RELEASE","CODE OK","BILLED",35608,16
"CODE OK","BILLED","STORNO",35853,1
"BILLED","STORNO","BILLED",4921,16
"STORNO","BILLED","STORNO",8110,1
"NEW","FIN","RELEASE",134528,6
"FIN","RELEASE","CODE OK",137423,1
"NEW","FIN","RELEASE",-197874,6
"FIN","RELEASE","CODE OK",91293,1
"NEW","CHANGE DIAGN","FIN",-68302,8
"CHANGE DIAGN","FIN","FIN",-70860,13
"FIN","FIN","RELEASE",-74691,6
"FIN","RELEASE","CODE OK",72816,1
"NEW","CHANGE DIAGN","FIN",-75418,13
"CHANGE DIAGN","FIN","RELEASE",-164131,6
"FIN","RELEASE","CODE OK",2100,1
"NEW","FIN","RELEASE",124958,6
"FIN","RELEASE","CODE OK",-130217,1
"NEW","FIN","RELEASE",23686,6
"FIN","RELEASE","CODE OK",353594,1
"NEW","FIN","RELEASE",137508,6
"FIN","RELEASE","CODE OK",60852,1
"NEW","FIN","RELEASE",47741,6
"FIN","RELEASE","CODE OK",5142,1
"NEW","FIN","RELEASE",65138,6
"FIN","RELEASE","CODE OK",-70448,1
"NEW","FIN","RELEASE",25888,6
"FIN","RELEASE","CODE OK",-144716,1
"NEW","CHANGE DIAGN","FIN",61868,13
"CHANGE DIAGN","FIN","RELEASE",-112962,6
"FIN","RELEASE","CODE OK",-123043,14
"RELEASE","CODE OK","REOPEN",-169825,8
"CODE OK","REOPEN","FIN",5026,13
"REOPEN","FIN","RELEASE",12229,6
"FIN","RELEASE","CODE OK",15005,1
"NEW","FIN","RELEASE",68531,6
"FIN","RELEASE","CODE OK",133501,1
"NEW","CHANGE DIAGN","FIN",-131982,13
"CHANGE DIAGN","FIN","RELEASE",-30205,6
"FIN","RELEASE","CODE OK",129079,1
"NEW","FIN","RELEASE",31069,6
"FIN","RELEASE","CODE OK",1595,1
"NEW","CHANGE DIAGN","FIN",363988,13
"CHANGE DIAGN","FIN","RELEASE",320228,6
"FIN","RELEASE","CODE OK",518076,1
"NEW","CHANGE DIAGN","FIN",520580,13
"CHANGE DIAGN","FIN","RELEASE",15541,6
"FIN","RELEASE","CODE OK",-551431,1
"NEW","CHANGE DIAGN","FIN",13744,13
"CHANGE DIAGN","FIN","RELEASE",-356826,6
"FIN","RELEASE","CODE OK",155113,1
"NEW","CHANGE DIAGN","FIN",-480870,13
"CHANGE DIAGN","FIN","RELEASE",33958,6
"FIN","RELEASE","CODE OK",28420,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-48495,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-58351,13
"CHANGE DIAGN","FIN","RELEASE",531307,14
"FIN","RELEASE","REOPEN",18695,8
"RELEASE","REOPEN","FIN",-485029,13
"REOPEN","FIN","RELEASE",30765,6
"FIN","RELEASE","CODE OK",20903,14
"RELEASE","CODE OK","REOPEN",531366,7
"NEW","CHANGE DIAGN","FIN",62651,13
"CHANGE DIAGN","FIN","RELEASE",47096,6
"FIN","RELEASE","CODE OK",8382,1
"NEW","FIN","RELEASE",71653,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",15288,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-166395,13
"CHANGE DIAGN","FIN","RELEASE",-166469,6
"FIN","RELEASE","CODE OK",-46847,1
"NEW","CHANGE DIAGN","FIN",-134653,13
"CHANGE DIAGN","FIN","RELEASE",-137545,6
"FIN","RELEASE","CODE OK",-39076,1
"RELEASE","CODE OK","BILLED",131658,16
"CODE OK","BILLED","STORNO",137522,1
"BILLED","STORNO","BILLED",39040,16
"STORNO","BILLED","STORNO",116145,1
"NEW","CHANGE DIAGN","FIN",131637,13
"CHANGE DIAGN","FIN","RELEASE",137502,6
"FIN","RELEASE","CODE OK",39031,1
"NEW","FIN","RELEASE",134610,6
"FIN","RELEASE","CODE OK",137503,1
"NEW","CHANGE DIAGN","FIN",-126756,13
"CHANGE DIAGN","FIN","RELEASE",5019,6
"FIN","RELEASE","CODE OK",5099,1
"NEW","CHANGE DIAGN","FIN",-40099,13
"CHANGE DIAGN","FIN","RELEASE",55133,6
"FIN","RELEASE","CODE OK",95486,1
"NEW","CHANGE DIAGN","FIN",-115748,13
"CHANGE DIAGN","FIN","RELEASE",-70910,6
"FIN","RELEASE","CODE OK",131530,1
"NEW","CHANGE DIAGN","FIN",-127746,13
"CHANGE DIAGN","FIN","RELEASE",-199630,6
"FIN","RELEASE","CODE OK",-38934,1
"NEW","CHANGE DIAGN","FIN",-14060,13
"CHANGE DIAGN","FIN","RELEASE",-14060,6
"FIN","RELEASE","CODE OK",114721,1
"NEW","FIN","RELEASE",-160975,6
"FIN","RELEASE","CODE OK",-33338,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-85557,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-811683,13
"CHANGE DIAGN","FIN","RELEASE",-682820,14
"FIN","RELEASE","REOPEN",130172,8
"RELEASE","REOPEN","FIN",137447,13
"REOPEN","FIN","RELEASE",40299,6
"FIN","RELEASE","CODE OK",-134435,1
"NEW","FIN","RELEASE",69692,6
"FIN","RELEASE","CODE OK",184340,1
"NEW","CHANGE DIAGN","FIN",-11549,13
"CHANGE DIAGN","FIN","RELEASE",-11550,6
"FIN","RELEASE","CODE OK",-123091,1
"RELEASE","CODE OK","BILLED",10814,16
"CODE OK","BILLED","STORNO",10850,1
"BILLED","STORNO","BILLED",58351,16
"STORNO","BILLED","STORNO",-39591,1
"NEW","FIN","RELEASE",10767,6
"FIN","RELEASE","CODE OK",159966,1
"NEW","CHANGE DIAGN","FIN",133479,13
"CHANGE DIAGN","FIN","RELEASE",139475,6
"FIN","RELEASE","CODE OK",237060,1
"NEW","CHANGE DIAGN","FIN",71580,13
"CHANGE DIAGN","FIN","RELEASE",80121,6
"FIN","RELEASE","CODE OK",97729,14
"RELEASE","CODE OK","REOPEN",-115828,8
"CODE OK","REOPEN","FIN",-124368,13
"REOPEN","FIN","RELEASE",-137043,6
"FIN","RELEASE","CODE OK",76872,14
"RELEASE","CODE OK","REOPEN",85569,8
"CODE OK","REOPEN","FIN",93844,13
"REOPEN","FIN","RELEASE",-75182,6
"FIN","RELEASE","CODE OK",-83879,1
"NEW","CHANGE DIAGN","FIN",63411,13
"CHANGE DIAGN","FIN","RELEASE",-91667,6
"FIN","RELEASE","CODE OK",-96428,1
"NEW","FIN","RELEASE",54846,6
"FIN","RELEASE","CODE OK",-107168,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",861970,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",734839,13
"CHANGE DIAGN","FIN","RELEASE",-156000,6
"FIN","RELEASE","CODE OK",-359165,14
"RELEASE","CODE OK","REOPEN",-359531,8
"CODE OK","REOPEN","FIN",534768,13
"REOPEN","FIN","RELEASE",11640,6
"FIN","RELEASE","CODE OK",-527794,1
"NEW","CHANGE DIAGN","FIN",77073,13
"CHANGE DIAGN","FIN","RELEASE",72808,6
"FIN","RELEASE","CODE OK",26739,13
"RELEASE","CODE OK","RELEASE",11616,6
"CODE OK","RELEASE","CODE OK",-222154,10
"RELEASE","CODE OK","MANUAL",-134872,13
"CODE OK","MANUAL","RELEASE",-104732,6
"MANUAL","RELEASE","CODE OK",127757,14
"RELEASE","CODE OK","REOPEN",41918,8
"CODE OK","REOPEN","FIN",60766,13
"REOPEN","FIN","RELEASE",78453,6
"FIN","RELEASE","CODE OK",71321,1
"NEW","CHANGE DIAGN","FIN",34777,13
"CHANGE DIAGN","FIN","RELEASE",-82996,6
"FIN","RELEASE","CODE OK",421475,1
"NEW","FIN","RELEASE",-518045,6
"FIN","RELEASE","CODE OK",-525341,1
"NEW","CHANGE DIAGN","FIN",36081,13
"CHANGE DIAGN","FIN","RELEASE",-140748,6
"FIN","RELEASE","CODE OK",-146744,1
"NEW","FIN","RELEASE",10647,6
"FIN","RELEASE","CODE OK",10629,1
"NEW","FIN","RELEASE",-8155,6
"FIN","RELEASE","CODE OK",130181,1
"NEW","CHANGE DIAGN","FIN",-139144,13
"CHANGE DIAGN","FIN","RELEASE",-78445,6
"FIN","RELEASE","CODE OK",132919,1
"NEW","FIN","RELEASE",-123059,6
"FIN","RELEASE","CODE OK",-129049,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",869796,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-138650,13
"CHANGE DIAGN","FIN","RELEASE",382721,6
"FIN","RELEASE","CODE OK",-480878,1
"NEW","FIN","RELEASE",-375690,6
"FIN","RELEASE","CODE OK",133130,1
"NEW","CHANGE DIAGN","FIN",83778,13
"CHANGE DIAGN","FIN","RELEASE",133413,6
"FIN","RELEASE","CODE OK",139402,1
"NEW","CHANGE DIAGN","FIN",-128137,13
"CHANGE DIAGN","FIN","RELEASE",65604,6
"FIN","RELEASE","CODE OK",71655,1
"NEW","FIN","RELEASE",-28997,6
"FIN","RELEASE","CODE OK",130396,1
"NEW","CHANGE DIAGN","FIN",-149398,13
"CHANGE DIAGN","FIN","RELEASE",-46091,6
"FIN","RELEASE","CODE OK",133350,1
"NEW","CHANGE DIAGN","FIN",-69472,13
"CHANGE DIAGN","FIN","RELEASE",-118103,6
"FIN","RELEASE","CODE OK",69389,1
"NEW","CHANGE DIAGN","FIN",32826,13
"CHANGE DIAGN","FIN","RELEASE",-147199,6
"FIN","RELEASE","CODE OK",-64872,1
"NEW","CHANGE DIAGN","FIN",135248,13
"CHANGE DIAGN","FIN","RELEASE",62693,6
"FIN","RELEASE","CODE OK",235102,14
"RELEASE","CODE OK","REOPEN",38667,8
"CODE OK","REOPEN","FIN",-262257,13
"REOPEN","FIN","RELEASE",-273834,6
"FIN","RELEASE","CODE OK",-254649,1
"NEW","FIN","RELEASE",-51900,6
"FIN","RELEASE","CODE OK",1440,1
"NEW","CHANGE DIAGN","FIN",-8640,13
"CHANGE DIAGN","FIN","RELEASE",11580,6
"FIN","RELEASE","CODE OK",-47580,1
"NEW","CHANGE DIAGN","FIN",40320,13
"CHANGE DIAGN","FIN","RELEASE",1440,14
"FIN","RELEASE","REOPEN",-44700,8
"RELEASE","REOPEN","FIN",10140,13
"REOPEN","FIN","RELEASE",40966,6
"FIN","RELEASE","CODE OK",40380,14
"RELEASE","CODE OK","REOPEN",-10140,8
"CODE OK","REOPEN","FIN",-9226,13
"REOPEN","FIN","RELEASE",2880,6
"FIN","RELEASE","CODE OK",-38880,1
"NEW","CHANGE DIAGN","FIN",-51900,13
"CHANGE DIAGN","FIN","RELEASE",8640,6
"FIN","RELEASE","CODE OK",0,14
"RELEASE","CODE OK","REOPEN",48198,8
"CODE OK","REOPEN","FIN",40998,13
"REOPEN","FIN","RELEASE",171191,6
"FIN","RELEASE","CODE OK",133454,1
"NEW","FIN","RELEASE",-176874,6
"FIN","RELEASE","CODE OK",-124047,1
"NEW","CHANGE DIAGN","FIN",60501,13
"CHANGE DIAGN","FIN","RELEASE",25300,6
"FIN","RELEASE","CODE OK",28368,1
"NEW","CHANGE DIAGN","FIN",-183916,13
"CHANGE DIAGN","FIN","RELEASE",-183969,14
"FIN","RELEASE","REOPEN",-62081,8
"RELEASE","REOPEN","FIN",133437,13
"REOPEN","FIN","RELEASE",139428,6
"FIN","RELEASE","CODE OK",36028,1
"NEW","FIN","RELEASE",41793,6
"FIN","RELEASE","CODE OK",41793,1
"NEW","CHANGE DIAGN","FIN",86588,13
"CHANGE DIAGN","FIN","RELEASE",-80092,6
"FIN","RELEASE","CODE OK",-80173,1
"NEW","CHANGE DIAGN","FIN",35971,13
"CHANGE DIAGN","FIN","RELEASE",-175240,6
"FIN","RELEASE","CODE OK",-181231,1
"NEW","CHANGE DIAGN","FIN",57439,13
"CHANGE DIAGN","FIN","RELEASE",-69959,6
"FIN","RELEASE","CODE OK",-120469,1
"NEW","FIN","RELEASE",36186,15
"NEW","FIN","RELEASE",115294,6
"FIN","RELEASE","CODE OK",7202,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-97133,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-98699,13
"CHANGE DIAGN","FIN","RELEASE",-12770,6
"FIN","RELEASE","CODE OK",133242,14
"RELEASE","CODE OK","REOPEN",139202,7
"NEW","CHANGE DIAGN","FIN",-150874,13
"CHANGE DIAGN","FIN","RELEASE",3639,6
"FIN","RELEASE","CODE OK",12277,1
